Fecha;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-02;2020-12-03;2020-12-04;2020-12-05;2020-12-06;2020-12-07;2020-12-08;2020-12-09;2020-12-10;2020-12-11;2020-12-12;2020-12-13;2020-12-14;2020-12-15;2020-12-16;2020-12-17;2020-12-18;2020-12-19;2020-12-20;2020-12-21;2020-12-22;2020-12-23;2020-12-24;2020-12-25;2020-12-26;2020-12-27;2020-12-28;2020-12-29;2020-12-30;2020-12-31
Casos nuevos con sintomas;1;0;2;1;1;2;3;5;2;6;10;10;18;14;81;45;37;104;92;103;95;114;176;220;164;304;299;230;310;289;293;373;333;424;310;344;301;430;426;529;426;286;312;392;356;534;445;478;358;419;325;464;516;494;552;473;482;552;520;780;882;1246;1112;876;1317;893;1343;1183;1004;1406;975;1479;2152;2301;2112;1573;2024;2018;3099;3647;3538;3863;3237;3343;4428;3618;3956;4128;3355;3736;4437;5082;3206;4537;4172;3790;4888;5760;4237;3587;5226;5089;6217;5969;6368;4660;4498;4320;4060;5016;4564;4181;3710;3078;3020;3778;3422;3481;3396;3092;2690;2134;2042;2703;2951;2852;2354;1946;1638;2395;2392;2219;2371;1985;1444;1400;1949;2125;1624;1615;1599;1342;1391;1841;2005;1752;1620;1475;1236;1294;1428;1540;1426;1482;1119;1049;1216;1383;1479;1511;1452;1319;1061;1071;1343;1396;1158;1383;1012;846;876;1265;1328;1267;1315;1265;887;993;1197;1227;1330;1277;1177;926;1114;1275;1319;1368;1364;1175;839;1048;1139;1304;1407;1413;1064;1025;918;1283;1097;1230;1048;832;814;1016;1282;1475;1458;1233;1112;1036;1185;1198;1208;1184;1016;984;1019;803;1104;1228;1200;1132;941;898;822;889;1141;1189;1149;1034;726;830;1030;1160;1121;1026;1010;569;738;1064;965;1077;1031;824;688;633;1044;1145;1026;1058;836;687;636;1145;1012;1093;1029;848;656;697;1051;1071;1019;961;903;702;780;1082;1014;1133;993;884;747;773;1079;1155;1014;1078;1132;958;945;1128;1112;1281;1427;1243;1064;1052;1414;1551;1517;1411;1276;1086;1281;1598;1597;1618;1105;1395;1410;1554;2036
Casos totales;1;1;3;4;5;7;10;15;17;23;33;43;61;75;156;201;238;342;434;537;632;746;922;1142;1306;1610;1909;2139;2449;2738;3031;3404;3737;4161;4471;4815;5116;5546;5972;6501;6927;7213;7525;7917;8273;8807;9252;9730;10088;10507;10832;11296;11812;12306;12858;13331;13813;14365;15135;16023;17008;18435;19663;20643;22016;23048;24581;25972;27219;28866;30063;31721;34381;37040;39542;41428;43781;46059;49579;53617;57581;61857;65393;69102;73997;77961;82289;86943;90638;94858;99688;105159;108686;113628;118292;122499;127745;134150;138846;142759;148496;154092;160846;167355;174293;179436;184449;220628;225103;231393;236748;242355;246963;250767;254416;259064;263360;267766;271982;275999;279393;282043;284541;288089;291847;295532;298557;301019;303083;306216;309274;312029;315041;317657;319493;321205;323698;326539;328846;330930;333029;334683;336402;338759;341304;343592;345790;347923;349800;351575;353536;355667;357658;359731;361493;362962;364723;366671;368825;371023;373056;375044;376616;378168;380034;382111;383902;385946;387502;388855;390037;391849;393769;395708;397665;399568;400985;402365;404102;405972;408009;409974;411726;413145;414739;416501;418469;420434;422510;424274;425541;427027;428669;430535;432666;434748;436433;437983;439287;441150;442827;444674;446274;447468;448523;449903;451634;453868;455979;457901;459671;461300;462991;464750;466590;468471;470179;471746;473306;474440;476016;477769;479595;481371;482888;484280;485372;486496;488190;490003;491760;493305;494478;495637;497131;498906;500542;502063;503598;504525;505530;507050;508571;510256;511864;513188;514202;515042;516582;518390;519977;521558;522879;523907;524804;526438;528030;529676;531273;532604;533610;534558;536012;537585;539143;540640;542080;543087;544092;545662;547223;548941;550430;551743;552864;553898;555406;557135;558668;560382;562142;563534;564778;566440;567974;569781;571919;573830;575329;576731;578732;581135;583354;585545;587488;589189;590914;593310;595831;598394;600105;602028;603986;605950;608973
Casos recuperados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;5;6;8;11;17;22;33;43;61;75;156;201;234;335;427;528;617;728;898;1115;1274;1571;1864;2059;2367;2646;2937;3299;3621;4035;4338;4676;4969;5386;5804;6327;6746;7024;7327;7710;8057;8580;9018;9572;10041;10415;10710;11189;11664;12160;12667;13112;13605;14125;14865;15655;16614;18014;19213;20165;21507;22504;23992;25342;26546;28148;29302;30915;33540;36115;38598;40431;42727;44946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fallecidos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;4;5;6;7;8;12;16;18;22;27;34;37;43;48;57;65;73;80;82;92;94;105;116;126;133;139;147;160;168;174;181;189;198;207;216;227;234;247;260;270;275;281;285;294;304;312;323;335;346;368;394;421;450;478;509;544;589;630;673;718;761;806;841;890;944;997;1054;1113;1188;1275;1356;1448;1541;2190;2264;2283;2475;2648;2870;3101;3323;3362;3383;3615;3841;4093;4295;4479;4502;4505;4731;4903;5068;5347;5509;5575;5688;5753;5920;6051;6192;6308;6384;6434;6573;6682;6781;6881;6979;7024;7069;7186;7290;8347;8445;8503;8633;8677;8722;8838;8914;9020;9112;9187;9240;9278;9377;9457;9533;9608;9707;9745;9792;9889;9958;10011;10077;10139;10178;10205;10299;10340;10395;10452;10513;10546;10578;10671;10723;10792;10852;10916;10958;10990;11072;11132;11181;11244;11289;11321;11344;11422;11494;11551;11592;11652;11682;11702;11781;11850;11895;11949;12013;12040;12058;12142;12199;12254;12286;12298;12321;12345;12469;12527;12591;12641;12698;12725;12741;12822;12867;12919;12979;13037;13070;13090;13167;13220;13272;13318;13379;13396;13415;13434;13529;13588;13635;13676;13702;13719;13792;13844;13892;13944;14003;14026;14032;14118;14158;14207;14247;14302;14319;14340;14404;14450;14499;14543;14588;14611;14633;14699;14738;14777;14819;14863;14883;14897;14955;15003;15030;15069;15106;15131;15138;15235;15278;15322;15356;15410;15430;15438;15519;15558;15592;15628;15663;15680;15690;15774;15782;15846;15886;15931;15949;15959;16007;16051;16101;16154;16197;16217;16228;16303;16358;16404;16443;16443;16488;16499;16608
Casos activos;1;1;3;4;5;7;10;15;17;23;33;43;61;75;156;200;235;338;429;531;623;734;903;1117;1269;1562;1842;2057;2285;2525;2781;3051;3288;3606;3820;4050;4175;4383;4641;4865;4990;5074;5076;5179;5242;5403;5515;5569;5617;5692;5716;5750;5840;5805;5931;6118;6288;6448;6862;7216;7756;8616;9362;9958;11031;11578;12632;13518;14248;15442;16135;17261;19170;21017;22534;22993;24118;25416;27563;30569;33000;35885;38174;40236;43934;46240;47908;49938;51096;53430;55907;59100;;;;;;;;;;;;;;;;;;;;37307;37064;35692;34592;34834;34861;34364;34263;34270;32476;30847;29374;28695;28210;28194;27804;26340;24807;24612;24440;24008;24166;24077;23205;21934;21107;21378;20952;20633;20404;19190;18439;18490;18694;18403;18583;18782;18228;17740;17531;17883;17621;17712;17810;16887;16640;16614;16699;16880;17153;17563;16897;16544;16604;16734;16556;16666;16604;15869;15174;15116;15149;15186;15634;16188;15564;15107;15108;15388;15645;16146;16558;16034;15712;15670;15727;15916;16519;16905;16129;15770;15532;15621;15852;16473;16695;15999;15377;15080;14647;14319;14242;14059;13026;12393;12289;12761;13129;13556;13957;13781;13661;13780;14116;14671;15130;15256;14818;14297;14139;14252;14269;14701;15025;14385;13884;13526;13564;13703;14182;14608;14049;13565;13490;13635;9990;9784;9634;9035;8507;8925;9176;9121;9164;9074;8776;8266;8640;9346;9334;9311;9094;8861;8451;8968;9454;9358;9455;9374;9025;8592;8880;9351;9224;9145;9144;8816;8468;8872;9379;9519;9554;9418;9089;8647;9104;9719;9509;9646;9892;9806;9596;10057;10526;10530;10887;11035;10864;10594;11199;12468;12591;13105;13047;12794;12561;13214;14133;14275;13745;13572;13477;13514;14638
Casos nuevos sin sintomas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;108;103;181;116;104;56;139;190;208;243;241;222;179;508;358;390;313;329;260;421;391;426;413;299;366;467;346;372;526;340;484;393;389;321;405;492;417;358;645;459;326;511;507;537;540;570;483;515;437;383;599;418;594;399;336;264;423;413;426;402;432;338;300;230;322;371;438;404;266;265;432;460;405;389;451;244;186;367;545;373;359;340;230;238;379;373;399;449;487;462;346;388;450;440;473;527;350;482;403;570;604;502;605;424;421;425;616;552;634;480;443;316;453;496;600;554;580;473;316;450;543;645;616;507;436;418;404;565;538;631;545;397;402;452;509;667;592;561;479;353;540;510;576;485;337;219;325;395;694;594;616;601;552;449;511;585;605;630;481;500;309;440;492;581;562;525;462;256;210;510;600;591;476;345;311;428;584;491;491;472;300;234;425;535;579;548;477;308;200;458;605;519;514;456;371;253;468;543;536;545;447;317;242;386;479;502;522;505;287;218;469;537;575;485;410;354;245;409;552;494;583;583;406;287;517;399;491;684;647;412;330;535;809;666;740;614;576;414;741;860;864;565;489;499;363;873
Casos nuevos totales;1;0;2;1;1;2;3;5;2;6;10;10;18;14;81;45;37;104;92;103;95;114;176;220;164;304;299;230;310;289;293;373;333;424;310;344;301;430;426;529;426;286;312;392;356;534;445;478;358;419;325;464;516;494;552;473;482;552;770;888;985;1427;1228;980;1373;1032;1533;1391;1247;1647;1197;1658;2660;2659;2502;1886;2353;2278;3520;4038;3964;4276;3536;3709;4895;3964;4328;4654;3695;4220;4830;5471;3527;4942;4664;4207;5246;6405;4696;3913;5737;5596;6754;6509;6938;5143;5013;4757;4475;6290;5355;5607;4608;3804;3649;4648;4296;4406;4216;4017;3394;2650;2498;3548;3758;3685;3025;2462;2064;3133;3058;2755;3012;2616;1836;1712;2475;2840;2185;2082;2099;1656;1741;2371;2545;2287;2198;2133;1876;1773;1948;2123;1979;2081;1762;1462;1781;1947;2149;2201;2036;1988;1566;1540;1852;2077;1777;2086;1556;1336;1233;1813;1920;1926;1942;1903;1406;1371;1739;1868;2033;1966;1753;1415;1582;1758;1965;1961;2077;1764;1263;1482;1639;1860;2135;2082;1685;1536;1305;1860;1673;1848;1600;1194;1054;1372;1731;2222;2109;1923;1770;1622;1684;1760;1839;1880;1708;1567;1554;1131;1575;1750;1824;1776;1517;1392;1089;1122;1689;1811;1759;1545;1099;1152;1495;1773;1631;1540;1505;922;1004;1519;1529;1686;1607;1314;1009;846;1540;1801;1568;1576;1318;1083;904;1631;1592;1644;1597;1331;1003;945;1455;1573;1550;1497;1440;1005;1004;1564;1570;1718;1489;1313;1119;1035;1507;1729;1533;1710;1760;1389;1247;1662;1531;1807;2139;1911;1498;1402;1998;2404;2217;2191;1943;1699;1726;2395;2520;2564;1711;1923;1958;1961;3022
Casos activos por FD;1;1;3;4;5;7;10;15;17;23;33;43;61;75;156;200;235;338;429;531;623;734;903;1117;1269;1562;1842;2057;2285;2525;2781;3051;3288;3606;3820;4050;4175;4383;4641;4865;4990;5074;5076;5179;5242;5403;5515;5569;5617;5692;5716;5750;5840;5805;5931;6118;6288;6448;6862;7216;7756;8616;9362;9958;11031;11578;12632;13518;14248;15442;16135;17261;19170;21017;22534;22993;24118;25416;27563;30569;33000;35885;38174;40236;43934;46240;47908;49938;51096;53430;55907;59100;59107;60011;60711;60642;62352;65048;64849;64798;66207;67149;70208;72497;74605;74277;75763;75346;106811;108894;109003;108205;108117;108008;105920;104972;102514;100411;97689;96563;94944;61415;59438;56696;55099;53177;51594;50252;48667;47152;45914;44263;43059;41658;40100;39162;39157;38450;36999;35398;34472;33664;33319;32543;32030;31563;30749;30266;30307;30370;29838;29128;28812;28801;28464;28279;28321;27912;27521;27431;27266;27121;26816;26593;26498;26444;26244;26215;26009;25893;25314;25178;24944;24685;24609;24524;24369;24197;24068;23861;24107;24028;24224;24290;24702;24652;24700;24726;24845;24706;24556;24662;24567;24563;24657;24774;24707;24838;24548;24649;24358;24240;23764;23194;22982;22876;22965;23333;23313;23153;23238;23317;23704;23600;23763;23797;23905;24278;24783;24537;24382;23901;23616;23470;23217;22980;22381;21746;21600;21532;21581;21559;21172;21197;21115;21137;20947;20692;20710;20245;20158;20554;20381;20253;20104;19883;19724;19405;19451;19484;19435;19495;19281;19382;19274;19388;19459;19420;19409;19416;19408;19516;19430;19195;19166;19082;19201;19180;19288;19224;19193;19265;19157;19139;19254;19340;19394;19550;19525;19742;20062;20447;20686;20778;20751;20840;21489;22087;22465;22833;23326;24000;24686;25163;25346;25655;26136;26870;27857;28613;28186;28198;28657;29219;30241
Casos activos por FIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37307;37064;35692;34592;34834;34861;34364;34263;34270;32476;30847;29374;28695;28210;28194;27804;26340;24807;24612;24440;24008;24166;24077;23205;21934;21107;21378;20952;20633;20404;19190;18439;18490;18694;18403;18583;18782;18228;17740;17531;17883;17621;17712;17810;16887;16640;16614;16699;16880;17153;17563;16897;16544;16604;16734;16556;16666;16604;15869;15174;15116;15149;15186;15634;16188;15564;15107;15108;15388;15645;16146;16558;16034;15712;15670;15727;15916;16519;16905;16129;15770;15532;15621;15852;16473;16695;15999;15377;15080;14647;14319;14242;14059;13026;12393;12289;12761;13129;13556;13957;13781;13661;13780;14116;14671;15130;15256;14818;14297;14139;14252;14269;14701;15025;14385;13884;13526;13564;13703;14182;14608;14049;13565;13490;13635;9990;9784;9634;9035;8507;8925;9176;9121;9164;9074;8776;8266;8640;9346;9334;9311;9094;8861;8451;8968;9454;9358;9455;9374;9025;8592;8880;9351;9224;9145;9144;8816;8468;8872;9379;9519;9554;9418;9089;8647;9104;9719;9509;9646;9892;9806;9596;10057;10526;10530;10887;11035;10864;10594;11199;12468;12591;13105;13047;12794;12561;13214;14133;14275;13745;13572;13477;13514;14638
Casos recuperados por FIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200569;205397;210570;215093;219327;223431;228055;232210;236154;241229;245443;249247;253343;257445;261030;264369;268245;271703;274922;278053;281140;283896;286556;289219;292085;295301;296814;299449;301794;303992;306816;309241;311431;313696;316169;318095;319954;322332;324557;326628;328327;330504;332411;333976;336330;338291;340168;342168;344132;345826;347342;349541;351419;353131;355037;356951;358828;360385;362440;364285;366062;367897;369730;371179;372464;374463;376268;377922;379452;381183;382584;383879;385790;387683;389409;391248;392967;394399;395717;397730;399555;401356;403064;404919;406326;407725;409944;411852;413928;415981;418101;419746;421111;423176;425165;426876;428580;430259;431704;433016;434794;436589;438148;439607;440881;442070;443453;445418;447053;448710;450297;452054;453352;454484;456499;458073;459536;461097;462712;463943;465021;466727;468353;469849;471427;476660;478335;479961;481464;482991;484007;485237;486928;488453;489812;491107;492436;493538;494594;496144;497704;499197;500435;501720;502771;503838;505541;506999;508367;509702;511069;512177;513231;514889;516426;517830;519140;520486;521555;522566;524100;525520;526915;528345;529813;530783;531858;533567;535108;536587;538048;539492;540609;541666;543405;545146;546864;548516;550178;551526;552616;554662;556286;558244;560178;562125;563793;565340;567715;569917;572013;574021;575937;577727
